backend/log-analyzer/index.py:10: warning: handler has 153 NLOC, 22 CCN, 876 token, 2 PARAM, 202 length, 0 ND
backend/api-knowledge-base/index.py:59: warning: handle_categories has 51 NLOC, 12 CCN, 435 token, 5 PARAM, 57 length, 0 ND
backend/api-knowledge-base/index.py:183: warning: handle_articles has 100 NLOC, 32 CCN, 836 token, 5 PARAM, 120 length, 0 ND
backend/api-knowledge-base/index.py:389: warning: handle_comments has 43 NLOC, 13 CCN, 347 token, 5 PARAM, 46 length, 0 ND
backend/api-knowledge-base/index.py:439: warning: handle_files has 45 NLOC, 14 CCN, 421 token, 5 PARAM, 49 length, 0 ND
backend/api-knowledge-base/index.py:621: warning: handler has 43 NLOC, 18 CCN, 351 token, 2 PARAM, 46 length, 0 ND
backend/tickets-counters/index.py:10: warning: handler has 56 NLOC, 16 CCN, 402 token, 2 PARAM, 111 length, 0 ND
backend/positions/index.py:14: warning: handler has 141 NLOC, 18 CCN, 735 token, 2 PARAM, 150 length, 0 ND
backend/api-services/index.py:9: warning: handler has 90 NLOC, 25 CCN, 872 token, 2 PARAM, 191 length, 0 ND
backend/bitrix-auth/index.py:67: warning: handle_callback has 66 NLOC, 12 CCN, 440 token, 1 PARAM, 77 length, 0 ND
backend/bitrix-auth/index.py:241: warning: find_or_create_user has 34 NLOC, 15 CCN, 449 token, 2 PARAM, 123 length, 0 ND
backend/api-ai-training/index.py:89: warning: handler has 36 NLOC, 14 CCN, 254 token, 2 PARAM, 41 length, 0 ND
backend/api-ai-training/index.py:156: warning: handle_recheck has 27 NLOC, 13 CCN, 319 token, 4 PARAM, 56 length, 0 ND
backend/api-ai-training/index.py:229: warning: handle_definitions has 34 NLOC, 19 CCN, 414 token, 4 PARAM, 57 length, 0 ND
backend/api-ai-training/index.py:300: warning: handle_bulk_enqueue has 32 NLOC, 13 CCN, 335 token, 4 PARAM, 56 length, 0 ND
backend/api-ai-training/index.py:358: warning: handle_examples has 78 NLOC, 36 CCN, 789 token, 4 PARAM, 121 length, 0 ND
